GMT;TIME;WSPE [m/s];WDIR [deg];HUMI [%];PRES [hPa];TEMP [°C];PM10 [ug/m3];PM25 [ug/m3];PM01 [ug/m3];O3 [ug/m3];SO2 [ug/m3];NO [ug/m3];NO2 [ug/m3];CO [ug/m3]
2023-11-02T17:00;02.11.2023 17:00;1.5;159;59;994;15.8;9;;;68.7;5.5;2.5;11.3;100
2023-11-02T18:00;02.11.2023 18:00;1.8;159;60;993;16;14;;;71.1;5.5;2.5;9.3;100
2023-11-02T19:00;02.11.2023 19:00;2.1;166;61;992;16.1;14;;;75.2;5.5;2.5;4;100
2023-11-02T20:00;02.11.2023 20:00;2.6;161;63;992;15.7;16;;;75.3;5.5;2.5;4;100
2023-11-02T21:00;02.11.2023 21:00;1.9;158;66;992;15.2;9;;;74.4;5.5;2.5;4;100
2023-11-02T22:00;02.11.2023 22:00;1.7;162;65;991;15.2;12;;;73.5;5.5;2.5;4;100
2023-11-02T23:00;02.11.2023 23:00;2;155;67;990;15.2;11;;;74.3;5.5;2.5;4;100
2023-11-03T00:00;03.11.2023 0:00;1.4;145;71;989;14.7;9;;;69.1;5.5;2.5;4;100
2023-11-03T01:00;03.11.2023 1:00;2.3;159;70;988;15.1;9;;;73;5.5;2.5;4;100
2023-11-03T02:00;03.11.2023 2:00;2.8;155;68;988;15.3;8;;;76.6;5.5;2.5;4;100
2023-11-03T03:00;03.11.2023 3:00;2.6;155;70;987;15.2;8;;;74.9;5.5;2.5;4;100
2023-11-03T04:00;03.11.2023 4:00;1.3;146;72;986;15.1;8;;;66.3;5.5;2.5;8.6;100
2023-11-03T05:00;03.11.2023 5:00;0.5;138;76;986;14.7;12;;;57.9;5.5;2.5;13;100
2023-11-03T06:00;03.11.2023 6:00;1.1;154;75;985;14.9;11;;;58.4;5.5;2.5;12;100
2023-11-03T07:00;03.11.2023 7:00;0.7;173;83;985;14;15;;;46.1;5.5;2.5;21.6;100
2023-11-03T08:00;03.11.2023 8:00;0.2;279;99;986;12.6;25;;;29.4;5.5;2.5;29.1;100
2023-11-03T09:00;03.11.2023 9:00;1.1;355;99;985;12.3;20;;;20.1;5.5;5.8;38;216
2023-11-03T10:00;03.11.2023 10:00;0.7;344;99;985;11.7;20;;;16.4;5.5;5.5;35.6;218.9
2023-11-03T11:00;03.11.2023 11:00;0.5;360;99;984;11.4;17;;;18;5.5;2.5;33.6;222.8
2023-11-03T12:00;03.11.2023 12:00;0.5;80;99;984;11.5;14;;;16.5;5.5;5.4;33.9;224.6
2023-11-03T13:00;03.11.2023 13:00;0.4;70;99;983;11.8;18;;;16.6;5.5;6.6;35.6;247.5
2023-11-03T14:00;03.11.2023 14:00;0.3;309;99;983;12;21;;;5;5.5;14;40.8;317.4
2023-11-03T15:00;03.11.2023 15:00;0.1;171;99;982;12;22;;;5;5.5;23.8;44.8;345.7
2023-11-03T16:00;03.11.2023 16:00;0.1;121;99;982;11.6;18;;;5;5.5;14.3;45.6;318.8
2023-11-03T17:00;03.11.2023 17:00;0.9;199;99;983;10.4;6;;;45.4;5.5;2.5;18.4;100
2023-11-03T18:00;03.11.2023 18:00;1.7;181;99;985;8.6;3;;;56;5.5;2.5;4;100
2023-11-03T19:00;03.11.2023 19:00;1.7;189;99;987;8;3;;;59.3;5.5;2.5;4;100
2023-11-03T20:00;03.11.2023 20:00;1.7;183;99;989;6.9;3;;;57.9;5.5;2.5;4;100
2023-11-03T21:00;03.11.2023 21:00;1.4;187;97;991;6.7;3;;;64.5;5.5;2.5;4;100
2023-11-03T22:00;03.11.2023 22:00;1.5;185;97;992;6.7;5;;;59.5;5.5;2.5;4;100
2023-11-03T23:00;03.11.2023 23:00;1.3;188;96;993;6.9;3;;;57.7;5.5;2.5;4;100
2023-11-04T00:00;04.11.2023 0:00;1.2;185;97;993;6.9;7;;;58.5;5.5;2.5;4;100
2023-11-04T01:00;04.11.2023 1:00;0.9;191;96;994;7.1;7;;;54.3;5.5;2.5;4;100
2023-11-04T02:00;04.11.2023 2:00;1;180;96;995;7.2;3;;;49.9;5.5;2.5;4;100
2023-11-04T03:00;04.11.2023 3:00;1;185;95;995;7.3;6;;;48.3;5.5;2.5;4;100
2023-11-04T04:00;04.11.2023 4:00;0.8;182;95;996;7.2;7;;;46.9;5.5;2.5;4;100
2023-11-04T05:00;04.11.2023 5:00;0.7;193;97;996;7;3;;;44;5.5;2.5;4;100
2023-11-04T06:00;04.11.2023 6:00;0.7;186;97;997;6.9;8;;;41.6;5.5;2.5;4;100
2023-11-04T07:00;04.11.2023 7:00;0.2;188;98;997;6.6;11;;;39;5.5;2.5;9.7;100
2023-11-04T08:00;04.11.2023 8:00;0.5;193;90;997;8.1;5;;;43.7;5.5;2.5;4;100
2023-11-04T09:00;04.11.2023 9:00;1.1;179;83;997;9.1;5;;;47.5;5.5;2.5;4;100
2023-11-04T10:00;04.11.2023 10:00;1;183;79;997;10;6;;;47.8;5.5;2.5;4;100
2023-11-04T11:00;04.11.2023 11:00;1;197;78;996;10.2;6;;;49.7;5.5;2.5;4;100
2023-11-04T12:00;04.11.2023 12:00;0.6;206;73;995;10.3;3;;;56.2;5.5;2.5;4;100
2023-11-04T13:00;04.11.2023 13:00;0.9;180;69;995;10.3;3;;;60.9;5.5;2.5;4;100
2023-11-04T14:00;04.11.2023 14:00;0.7;177;69;995;10.5;3;;;60.5;5.5;2.5;4;100
2023-11-04T15:00;04.11.2023 15:00;0.6;174;70;994;9.7;3;;;60.8;5.5;2.5;4;100
2023-11-04T16:00;04.11.2023 16:00;0.3;180;80;994;8;7;;;52.2;5.5;2.5;8.8;206
2023-11-04T17:00;04.11.2023 17:00;0.2;157;95;993;5.6;11;;;39;5.5;2.5;16.9;293
2023-11-04T18:00;04.11.2023 18:00;0.1;145;99;993;4.6;13;;;25.5;5.5;2.5;29.3;379.2
2023-11-04T19:00;04.11.2023 19:00;0.1;173;99;992;3.7;28;;;5;5.5;6;46.5;485
2023-11-04T20:00;04.11.2023 20:00;0.1;146;99;992;3.2;19;;;5;5.5;2.5;42.4;471.7
2023-11-04T21:00;04.11.2023 21:00;0.2;157;99;990;2.8;23;;;5;5.5;5.8;38.1;518.2
2023-11-04T22:00;04.11.2023 22:00;0.5;170;96;990;4.7;20;;;38.9;5.5;2.5;18.9;311.9
2023-11-04T23:00;04.11.2023 23:00;0.9;178;80;989;8.8;25;;;62.3;5.5;2.5;4;100
2023-11-05T00:00;05.11.2023 0:00;0.9;179;80;989;9.4;7;;;62.4;5.5;2.5;4;100
2023-11-05T01:00;05.11.2023 1:00;1;182;82;988;9.2;7;;;60.6;5.5;2.5;4;100
2023-11-05T02:00;05.11.2023 2:00;0.6;183;82;988;9;3;;;57.8;5.5;2.5;4;100
2023-11-05T03:00;05.11.2023 3:00;0.4;196;85;987;8.9;13;;;55.4;5.5;2.5;4;100
2023-11-05T04:00;05.11.2023 4:00;0.3;174;88;987;8.8;8;;;53.1;5.5;2.5;4;100
2023-11-05T05:00;05.11.2023 5:00;0.1;133;94;987;8;7;;;39.4;5.5;2.5;9.6;100
2023-11-05T06:00;05.11.2023 6:00;0.1;320;98;987;7.6;11;;;34.5;5.5;2.5;11;100
2023-11-05T07:00;05.11.2023 7:00;0.1;98;99;986;7.7;14;;;26.9;5.5;2.5;15.8;207.8
2023-11-05T08:00;05.11.2023 8:00;0.6;167;99;986;8.5;18;;;39.8;5.5;2.5;12.4;100
2023-11-05T09:00;05.11.2023 9:00;1;156;99;985;8.5;14;;;56.7;5.5;2.5;8.3;100
2023-11-05T10:00;05.11.2023 10:00;0.4;148;99;985;8.9;10;;;49;5.5;2.5;12.7;100
2023-11-05T11:00;05.11.2023 11:00;0.4;149;99;984;9.5;13;;;46.7;5.5;2.5;13.5;208.5
2023-11-05T12:00;05.11.2023 12:00;0.7;185;99;984;9.5;9;;;55.3;5.5;2.5;4;100
2023-11-05T13:00;05.11.2023 13:00;0.8;178;99;985;9.7;3;;;54.3;5.5;2.5;4;100
2023-11-05T14:00;05.11.2023 14:00;1;181;97;985;10.6;7;;;57.8;5.5;2.5;4;100
2023-11-05T15:00;05.11.2023 15:00;0.8;183;90;986;11.2;8;;;58;5.5;2.5;4;100
2023-11-05T16:00;05.11.2023 16:00;0.2;183;94;987;10.1;10;;;48.7;5.5;2.5;11.7;100
2023-11-05T17:00;05.11.2023 17:00;0.2;202;99;988;9.4;11;;;45;5.5;2.5;11.8;100
2023-11-05T18:00;05.11.2023 18:00;0.5;186;96;989;9.4;11;;;48.5;5.5;2.5;9.9;100
2023-11-05T19:00;05.11.2023 19:00;0.9;193;86;990;10.7;9;;;60.3;5.5;2.5;4;100
2023-11-05T20:00;05.11.2023 20:00;1;196;82;991;11;9;;;61.8;5.5;2.5;4;100
2023-11-05T21:00;05.11.2023 21:00;1.3;197;80;992;11.2;11;;;63;5.5;2.5;4;100
2023-11-05T22:00;05.11.2023 22:00;1.2;195;78;993;11.5;8;;;62.7;5.5;2.5;4;100
2023-11-05T23:00;05.11.2023 23:00;1.2;188;80;994;11.1;9;;;62.1;5.5;2.5;4;100
2023-11-06T00:00;06.11.2023 0:00;1.2;193;82;995;11;12;;;60;5.5;2.5;4;100
2023-11-06T01:00;06.11.2023 1:00;1;196;81;997;11.1;14;;;56.4;5.5;2.5;4;100
2023-11-06T02:00;06.11.2023 2:00;1.1;203;83;998;10.6;7;;;55.3;5.5;2.5;4;100
2023-11-06T03:00;06.11.2023 3:00;0.5;209;81;999;10;3;;;55;5.5;2.5;4;100
2023-11-06T04:00;06.11.2023 4:00;0.6;187;80;1001;9.1;3;;;55.1;5.5;2.5;4;100
2023-11-06T05:00;06.11.2023 5:00;0.7;202;83;1002;8.7;3;;;51;5.5;2.5;9.2;100
2023-11-06T06:00;06.11.2023 6:00;0.6;193;85;1003;8.4;6;;;48;5.5;2.5;11.6;100
2023-11-06T07:00;06.11.2023 7:00;1.1;199;79;1004;9.8;11;;;52.9;5.5;2.5;10.8;100
2023-11-06T08:00;06.11.2023 8:00;1.1;196;77;1005;10.5;13;;;53.2;5.5;2.5;9.7;100
2023-11-06T09:00;06.11.2023 9:00;1.1;199;76;1006;10.6;9;;;52.5;5.5;2.5;9.5;100
2023-11-06T10:00;06.11.2023 10:00;1;192;75;1007;11.2;13;;;48.6;5.5;2.5;12.6;100
2023-11-06T11:00;06.11.2023 11:00;1;191;71;1007;12.3;12;;;49.6;5.5;2.5;14;100
2023-11-06T12:00;06.11.2023 12:00;1;214;68;1007;12.6;11;;;55.7;5.5;2.5;9.8;100
2023-11-06T13:00;06.11.2023 13:00;1.2;202;64;1008;13.4;18;;;58.1;5.5;2.5;9.2;100
2023-11-06T14:00;06.11.2023 14:00;1.1;200;64;1008;13.3;12;;;58.9;5.5;2.5;9.2;100
2023-11-06T15:00;06.11.2023 15:00;0.8;207;69;1009;12.5;16;;;55.7;5.5;2.5;11.4;100
2023-11-06T16:00;06.11.2023 16:00;0.4;228;73;1009;11.6;17;;;50.4;5.5;2.5;16;100
2023-11-06T17:00;06.11.2023 17:00;0.2;196;87;1010;9;16;;;38.6;5.5;2.5;21.1;100
2023-11-06T18:00;06.11.2023 18:00;0.3;189;86;1011;9.3;13;;;43.8;5.5;2.5;15.9;100
2023-11-06T19:00;06.11.2023 19:00;0.3;164;88;1011;8.4;3;;;42.8;5.5;2.5;14.7;207.6
2023-11-06T20:00;06.11.2023 20:00;0.3;176;94;1012;7.1;12;;;37.5;5.5;2.5;18.9;237.7
2023-11-06T21:00;06.11.2023 21:00;0.5;192;88;1012;8.2;9;;;42.2;5.5;2.5;13.9;226.5
2023-11-06T22:00;06.11.2023 22:00;0.5;194;93;1013;7.5;18;;;34.4;5.5;2.5;18.2;239.9
2023-11-06T23:00;06.11.2023 23:00;0.3;174;95;1013;7.1;18;;;30.5;5.5;2.5;19;248.4
2023-11-07T00:00;07.11.2023 0:00;0.2;163;99;1013;6.3;14;;;31.9;5.5;2.5;16.2;245
2023-11-07T01:00;07.11.2023 1:00;0.2;157;98;1014;6.2;8;;;32.7;5.5;2.5;15.8;228.9
2023-11-07T02:00;07.11.2023 2:00;0.3;124;98;1014;6.1;13;;;27.6;5.5;2.5;18.4;247.9
2023-11-07T03:00;07.11.2023 3:00;0.4;143;99;1014;6.1;18;;;25.8;5.5;2.5;17.8;262.4
2023-11-07T04:00;07.11.2023 4:00;0.2;169;99;1015;6.6;25;;;20.3;5.5;2.5;21.3;253.3
2023-11-07T05:00;07.11.2023 5:00;0.6;196;97;1015;7.5;20;;;25.4;5.5;2.5;20.3;238
2023-11-07T06:00;07.11.2023 6:00;0.4;175;99;1015;6.8;10;;;18.9;5.5;2.5;26.9;259
2023-11-07T07:00;07.11.2023 7:00;0.5;191;99;1016;6.8;26;;;18.4;13.9;28.9;31.8;266.1
2023-11-07T08:00;07.11.2023 8:00;0.7;193;88;1016;9.2;34;;;28.3;5.5;5.8;21.6;310.8
2023-11-07T09:00;07.11.2023 9:00;0.7;184;77;1016;11.4;21;;;36.9;5.5;7.3;17.7;421.3
2023-11-07T10:00;07.11.2023 10:00;0.9;194;68;1017;12.6;3;;;51;5.5;2.5;12.9;100
2023-11-07T11:00;07.11.2023 11:00;1;187;64;1016;12.9;6;;;58;5.5;2.5;13.3;100
2023-11-07T12:00;07.11.2023 12:00;0.9;203;62;1016;13.3;6;;;63.6;5.5;2.5;10.6;100
2023-11-07T13:00;07.11.2023 13:00;1;203;61;1016;13.1;11;;;65.2;5.5;2.5;10.5;100
2023-11-07T14:00;07.11.2023 14:00;0.6;206;63;1015;12.7;18;;;60.5;5.5;2.5;14.3;100
2023-11-07T15:00;07.11.2023 15:00;0.4;184;68;1015;11.7;14;;;49.1;5.5;2.5;25.7;100
2023-11-07T16:00;07.11.2023 16:00;0.1;174;79;1015;9.6;14;;;47.2;5.5;2.5;20.6;202.5
2023-11-07T17:00;07.11.2023 17:00;0.4;167;88;1015;8.2;31;;;31;5.5;2.5;31.7;270.6
2023-11-07T18:00;07.11.2023 18:00;0.5;170;86;1015;9.1;18;;;38.3;5.5;2.5;23.2;260.5
2023-11-07T19:00;07.11.2023 19:00;0.3;194;91;1015;8.6;28;;;33.8;5.5;2.5;20.3;250.6
2023-11-07T20:00;07.11.2023 20:00;0.3;202;91;1015;8.9;23;;;32.2;5.5;2.5;19.5;252.3
2023-11-07T21:00;07.11.2023 21:00;0.2;172;91;1015;8.9;21;;;34.5;5.5;2.5;16.2;256
2023-11-07T22:00;07.11.2023 22:00;0.3;192;94;1015;8.8;16;;;39.2;5.5;2.5;13.4;234.3
2023-11-07T23:00;07.11.2023 23:00;0.3;171;99;1015;7.9;13;;;36.8;5.5;2.5;15.5;238.6
2023-11-08T00:00;08.11.2023 0:00;0.3;197;99;1015;8.4;15;;;45.8;5.5;2.5;9.4;215.5
2023-11-08T01:00;08.11.2023 1:00;0.3;168;99;1015;7.9;13;;;42;5.5;2.5;9.5;213.3
2023-11-08T02:00;08.11.2023 2:00;0.3;190;99;1014;7.4;10;;;37.9;5.5;2.5;11.7;215.2
2023-11-08T03:00;08.11.2023 3:00;0.5;190;99;1014;7.2;10;;;33.9;5.5;2.5;12.4;234.1
2023-11-08T04:00;08.11.2023 4:00;0.2;209;99;1015;6.9;9;;;32;5.5;2.5;10.9;228.5
2023-11-08T05:00;08.11.2023 5:00;0.3;176;99;1015;6.6;8;;;27.9;5.5;2.5;15.1;231.4
2023-11-08T06:00;08.11.2023 6:00;0.6;190;98;1016;7.3;10;;;32.4;5.5;2.5;17.4;206.1
2023-11-08T07:00;08.11.2023 7:00;0.6;198;94;1016;7.5;3;;;33.6;5.5;2.5;20.4;100
2023-11-08T08:00;08.11.2023 8:00;0.6;204;89;1017;7.7;8;;;40.3;5.5;2.5;16.3;100
2023-11-08T09:00;08.11.2023 9:00;0.8;194;82;1017;8.9;3;;;44.4;5.5;2.5;15.9;100
2023-11-08T10:00;08.11.2023 10:00;1;211;71;1017;10.5;3;;;57.4;5.5;2.5;9.5;100
2023-11-08T11:00;08.11.2023 11:00;0.9;217;67;1017;11;3;;;61.5;5.5;2.5;8.3;100
2023-11-08T12:00;08.11.2023 12:00;0.9;230;65;1017;11.1;6;;;63.8;5.5;2.5;4;100
2023-11-08T13:00;08.11.2023 13:00;0.7;256;70;1017;10.2;11;;;57.1;5.5;2.5;11.1;100
2023-11-08T14:00;08.11.2023 14:00;0.8;226;67;1017;10.6;7;;;59.4;5.5;2.5;10.4;100
2023-11-08T15:00;08.11.2023 15:00;0.7;225;70;1017;9.9;7;;;55.8;5.5;2.5;13.6;100
2023-11-08T16:00;08.11.2023 16:00;0.6;212;77;1017;8.9;17;;;51.3;5.5;2.5;14.5;100
2023-11-08T17:00;08.11.2023 17:00;0.7;201;80;1017;8.2;10;;;49.4;5.5;2.5;15.4;100
2023-11-08T18:00;08.11.2023 18:00;0.5;198;84;1018;7.4;12;;;38.8;5.5;2.5;23.7;230.7
2023-11-08T19:00;08.11.2023 19:00;0.5;182;85;1018;7;11;;;40;5.5;2.5;21.4;251.6
2023-11-08T20:00;08.11.2023 20:00;0.8;196;82;1018;7.4;12;;;49;5.5;2.5;13.7;208.8
2023-11-08T21:00;08.11.2023 21:00;0.9;204;82;1018;7.8;12;;;52.5;5.5;2.5;10;100
2023-11-08T22:00;08.11.2023 22:00;0.7;199;86;1018;7.4;13;;;46.9;5.5;2.5;11.7;220.4
2023-11-08T23:00;08.11.2023 23:00;0.5;205;93;1018;6.4;13;;;39.6;5.5;2.5;13.9;241
2023-11-09T00:00;09.11.2023 0:00;0.3;204;98;1018;5.6;16;;;29.7;5.5;2.5;19.3;262.4
2023-11-09T01:00;09.11.2023 1:00;0.4;204;99;1017;5.1;18;;;29;5.5;2.5;18.4;262.2
2023-11-09T02:00;09.11.2023 2:00;0.3;195;99;1017;4.6;16;;;24.8;5.5;2.5;20.8;264.2
2023-11-09T03:00;09.11.2023 3:00;0.3;181;99;1017;4;12;;;24.5;5.5;2.5;20.2;263.1
2023-11-09T04:00;09.11.2023 4:00;0.3;159;99;1017;3.3;13;;;21.3;5.5;2.5;19.9;261.5
2023-11-09T05:00;09.11.2023 5:00;0.2;148;99;1016;2.2;11;;;15.2;5.5;2.5;23.3;262.7
2023-11-09T06:00;09.11.2023 6:00;0;132;99;1016;1.5;9;;;5;5.5;10.2;37.8;324.2
2023-11-09T07:00;09.11.2023 7:00;0.2;147;99;1016;1.5;23;;;5;5.5;73.3;40;511.1
2023-11-09T08:00;09.11.2023 8:00;0.4;203;87;1015;5.8;41;;;17.7;5.5;26.8;39;279.6
2023-11-09T09:00;09.11.2023 9:00;0.7;199;75;1014;8.1;15;;;34.1;5.5;7.2;22.7;218.5
2023-11-09T10:00;09.11.2023 10:00;0.8;201;70;1014;10.3;16;;;41.2;5.5;6.5;20.9;203.1
2023-11-09T11:00;09.11.2023 11:00;2;181;62;1013;12;15;;;63.1;5.5;2.5;13.2;100
2023-11-09T12:00;09.11.2023 12:00;1.9;176;62;1013;12.3;16;;;66.6;5.5;2.5;12.5;100
2023-11-09T13:00;09.11.2023 13:00;1.8;182;59;1012;12.5;11;;;67.2;5.5;2.5;14.5;100
2023-11-09T14:00;09.11.2023 14:00;1.3;184;61;1012;11.8;12;;;59.4;5.5;2.5;21.6;100
2023-11-09T15:00;09.11.2023 15:00;1;180;65;1012;10.9;12;;;52.6;5.5;2.5;27.1;100
2023-11-09T16:00;09.11.2023 16:00;0.7;184;68;1012;10.1;13;;;54.9;5.5;2.5;23;100
2023-11-09T17:00;09.11.2023 17:00;0.5;172;71;1011;9.3;13;;;58.7;5.5;2.5;15.8;206.8
2023-11-09T18:00;09.11.2023 18:00;0.3;169;82;1011;7.5;21;;;38.7;5.5;2.5;29;300.6
2023-11-09T19:00;09.11.2023 19:00;0.1;152;93;1011;6;35;;;14.8;5.5;2.5;51;373.9
2023-11-09T20:00;09.11.2023 20:00;0.1;358;93;1010;6.2;24;;;24.1;5.5;2.5;39.6;354.7
2023-11-09T21:00;09.11.2023 21:00;0.2;171;86;1010;7.8;19;;;48.5;5.5;2.5;17.1;241
2023-11-09T22:00;09.11.2023 22:00;0;133;90;1009;7.1;18;;;35.5;5.5;2.5;22.5;289.3
2023-11-09T23:00;09.11.2023 23:00;0;296;98;1009;5.6;26;;;5;5.5;2.5;51.9;416.8
2023-11-10T00:00;10.11.2023 0:00;0.4;163;96;1009;6.1;52;;;31.7;5.5;2.5;27.6;322
2023-11-10T01:00;10.11.2023 1:00;0.6;188;83;1008;8.7;9;;;59;5.5;2.5;4;100
2023-11-10T02:00;10.11.2023 2:00;0.4;184;84;1008;8.7;15;;;54.9;5.5;2.5;10.3;100
2023-11-10T03:00;10.11.2023 3:00;0.6;197;86;1008;8.6;19;;;54.4;5.5;2.5;9.3;100
2023-11-10T04:00;10.11.2023 4:00;0.6;193;87;1007;8.5;11;;;53.7;5.5;2.5;9.4;100
2023-11-10T05:00;10.11.2023 5:00;0.3;201;87;1007;8.2;9;;;50;5.5;2.5;13;204.6
2023-11-10T06:00;10.11.2023 6:00;0.2;204;91;1006;7.7;28;;;40.4;5.5;2.5;19.4;214.1
2023-11-10T07:00;10.11.2023 7:00;0.3;173;91;1007;7.9;30;;;31.7;5.5;2.5;27.1;228.4
2023-11-10T08:00;10.11.2023 8:00;0.6;195;86;1007;9;23;;;38;5.5;2.5;23.7;218
2023-11-10T09:00;10.11.2023 9:00;0.7;190;83;1006;9.5;22;;;36.8;5.5;6.8;27.8;210.7
2023-11-10T10:00;10.11.2023 10:00;0.9;182;77;1006;10.4;14;;;44.7;5.5;2.5;21.5;202.3
2023-11-10T11:00;10.11.2023 11:00;1.1;180;70;1006;10.8;3;;;60.2;5.5;2.5;12.9;100
2023-11-10T12:00;10.11.2023 12:00;1.1;161;88;1006;9.3;21;;;63;5.5;2.5;14.2;100
2023-11-10T13:00;10.11.2023 13:00;0.4;153;95;1005;8.8;15;;;53.4;5.5;2.5;23.4;200.3
2023-11-10T14:00;10.11.2023 14:00;0.2;219;99;1005;8.7;18;;;38.2;5.5;2.5;29.9;248.7
2023-11-10T15:00;10.11.2023 15:00;0;309;99;1005;8.4;14;;;24.8;5.5;2.5;40.2;297.4
2023-11-10T16:00;10.11.2023 16:00;0.1;316;99;1005;7.9;20;;;5;5.5;11.9;61.1;369.9
2023-11-10T17:00;10.11.2023 17:00;0.1;88;99;1005;7.7;21;;;16.7;5.5;2.5;48.2;315.1
2023-11-10T18:00;10.11.2023 18:00;0.3;157;99;1005;7.6;15;;;30.1;5.5;2.5;36.6;282.9
2023-11-10T19:00;10.11.2023 19:00;0.4;155;99;1004;7.6;11;;;25;5.5;2.5;41.3;313.8
2023-11-10T20:00;10.11.2023 20:00;0.1;172;99;1004;7.6;17;;;15.7;5.5;2.5;41.7;355.2
2023-11-10T21:00;10.11.2023 21:00;0.3;157;99;1004;7.6;15;;;20.1;5.5;2.5;37.7;337.6
